订单编号,房源编号,房间类型,面积,租客姓名,联系方式,入住日期,退房日期,租期,租金,押金,支付方式,状态
77e5721d-7a6d-45c4-a476-ab291fb0a7f6,14207,两室一厅,71,关柳,14569078253,2022-09-25,2023-02-08,136,1719,1719,现金,完成
86e1f293-299d-4a4e-b286-4ddf2ecee119,13744,四室两厅,139,陈文,18865458781,2022-08-05,2022-12-05,122,5032,5032,现金,完成
b356afd2-4b39-46ca-b9fa-0a077fd95637,13503,一室一厅,48,杨瑜,15553108314,2022-11-05,2023-04-19,165,965,965,现金,完成
bd645286-3625-4d55-8145-b6b619d6b9b4,10121,一室一厅,48,顾华,13993529720,2023-02-28,2023-04-19,50,816,816,微信,取消
c420a783-f584-4993-9e5a-1468ca59ee64,10080,两室一厅,89,赵建平,13190395117,2022-08-11,2023-05-18,280,1395,2790,现金,完成
9fa5efb4-a308-46f8-b322-bd9962ce11f1,13106,两室一厅,92,邓桂兰,15057477552,2022-10-09,2022-10-21,12,1558,1558,现金,取消
bcdaed85-c8b9-4918-91ae-9424151e8619,16594,四室两厅,157,赵桂荣,15164795955,2022-07-30,2023-02-10,195,5619,5619,现金,完成
b013ec63-3029-471c-bac0-ac584d783d1a,12416,四室两厅,136,贾建华,13309421534,2022-10-14,2022-11-22,39,6482,12964,支付宝,取消
533be9b1-007a-4761-b3d2-94b13ae0e72c,13283,两室一厅,103,刘红梅,13784057282,2022-10-24,2023-02-01,100,1482,2964,微信,完成
67ccaa5c-f620-4666-9354-3ae7c82986ed,13039,四室两厅,147,王涛,15177236482,2023-04-06,2023-04-29,23,5338,10676,现金,完成
66a599dd-8515-4c84-b9d0-b738548b17ef,12957,两室一厅,71,邝秀芳,18261114357,2022-12-11,2023-04-27,137,1549,1549,支付宝,完成
883c8ed6-6cce-4932-8b8f-808835422af7,13778,四室两厅,140,马玉珍,14561159960,2022-08-30,2023-01-29,152,5484,5484,现金,完成
c3c7baa0-8285-46b8-9a44-2c170b7cf089,12672,一室一厅,42,方桂香,14542791022,2023-03-17,2023-04-18,32,929,929,现金,完成
18ff749b-d879-4da3-9fba-3962f3b97147,18865,一室一厅,43,门雪梅,13467475890,2022-07-25,2023-01-19,178,501,1002,支付宝,取消
be680a6d-b490-471b-bef5-a4be7193f2fa,10874,四室两厅,159,袁雷,13859784085,2022-06-09,2023-04-09,304,4922,4922,微信,取消
20f39693-bff8-4c8b-9a98-bc8c6a53803e,14634,一室两厅,51,姜刚,13214346655,2023-04-29,2023-05-06,7,1004,2008,现金,取消
e18c76d4-e0b8-4eb7-af25-ce3201f555cf,12407,三室两厅,120,李鑫,15056504223,2022-08-02,2022-09-23,52,3234,3234,现金,取消
0f1d3f86-52f4-4f13-b780-9ead9636af9b,14860,四室两厅,141,王红霞,15881019200,2022-10-07,2023-03-30,174,5550,11100,现金,完成
fff91264-df18-4a1d-bbe8-40548e3f37f7,15141,两室一厅,73,李玉英,14584890999,2022-11-24,2023-03-08,104,1462,1462,微信,取消
44870074-ba56-47e8-a69a-f6c544dc0a7b,11068,两室一厅,72,宋桂珍,18657637192,2022-08-04,2022-11-21,109,1971,1971,微信,取消
586625e2-992b-4aa8-9e8b-d7593da280b1,14919,一室一厅,49,欧丽华,18962989854,2022-10-02,2023-03-11,160,920,1840,微信,取消
5e3570a4-496b-4b81-ab73-7d28fa37e05a,14879,两室两厅,96,金丽华,18228920386,2022-07-10,2023-01-19,193,1064,2128,现金,完成
57739bfa-959c-4678-a500-ed04549387b1,14091,一室一厅,41,谢颖,13228843292,2022-08-28,2022-11-02,66,1297,1297,微信,完成
9f502fd8-9019-4b8a-ba81-83a6ee0d15eb,16006,三室两厅,110,王云,15309797152,2023-02-12,2023-05-10,87,4190,4190,现金,取消
ef021473-a417-45ca-a773-cbd3cdc31428,13160,四室两厅,151,唐建军,18601274940,2023-05-06,2023-05-17,11,6260,12520,微信,取消
0b8501d0-1770-4144-a330-e902b761846c,10425,一室两厅,59,朱玉兰,13319489644,2023-04-26,2023-05-01,5,970,970,现金,取消
9e95e0a1-f245-4125-bf56-58532da41af3,16525,两室一厅,94,张璐,18837194932,2023-04-08,2023-04-20,12,1912,1912,现金,取消
8231019f-2a15-4913-a22c-994b67c193dd,12252,一室两厅,61,梁淑英,15098103398,2022-10-27,2023-01-14,79,937,1874,现金,取消
54ec420c-7f7d-4c32-9d7e-98ed58235dc1,13037,两室一厅,79,王杨,15065496796,2022-10-23,2023-01-05,74,1750,1750,支付宝,取消
9cbeb9c8-22b2-442c-ba76-e427907fc20a,10213,两室一厅,93,廖燕,13034815541,2023-05-08,2023-05-09,1,1751,3502,现金,取消
f3a77cb3-ea90-4543-98ec-556c9a64e661,19676,一室两厅,67,崔晶,13307312791,2023-01-16,2023-01-28,12,1093,2186,支付宝,完成
4be0fb30-699b-48dc-b29a-beb2a111035f,12248,一室两厅,65,朱琴,14529854937,2022-06-06,2022-06-09,3,980,980,支付宝,完成
77246e9b-b11b-411e-963e-f09788f9f817,11118,两室一厅,71,李秀云,15991181674,2023-05-17,2023-05-18,1,1193,1193,现金,取消
d9357d6c-462e-4c61-9633-090f6e6936aa,13626,一室一厅,40,江瑜,15081977285,2022-07-07,2022-08-20,44,1386,1386,微信,取消
a032c92e-b434-4ca2-b17e-13dc368a7507,19916,两室两厅,89,崔燕,13700229779,2022-07-01,2023-01-04,187,1382,1382,现金,取消
c77fec7a-8aa4-4248-9657-670f5c1ead67,10364,四室两厅,160,孔想,15505463800,2023-03-08,2023-03-20,12,5250,10500,支付宝,取消
4b0e3c40-95b3-4147-87c5-bac309d4c179,17201,一室两厅,56,刘桂荣,18984360366,2022-12-17,2023-03-17,90,704,704,现金,完成
ea2e1e5d-39ca-44f9-a86f-eb096effc57e,11672,四室两厅,137,刘峰,14795897316,2022-11-21,2023-01-06,46,4836,4836,支付宝,取消
8345f5b8-6947-4b69-8053-832a668fb999,12857,两室一厅,88,彭明,13558331486,2022-10-09,2023-03-14,156,1628,3256,现金,完成
81997d89-b24c-40d4-aa91-07287e9d45a1,14024,两室两厅,73,冯淑兰,13162305147,2022-09-09,2023-04-18,221,2065,4130,微信,完成
443a25e2-3a8a-4903-90ad-f5117140ab20,18109,一室两厅,51,吴阳,18166874772,2023-01-16,2023-04-08,82,1478,1478,现金,完成
2ba0ab87-64d3-43ef-bbfa-bdacf55b3b6e,18299,三室两厅,112,范畅,18590050518,2022-11-28,2023-01-13,46,3487,6974,支付宝,完成
bf5ce711-0006-48fd-b736-7e587561baca,17456,一室一厅,50,王宁,15731045278,2023-01-16,2023-02-27,42,644,644,现金,取消
5ec443b8-209f-4027-ba92-23e5cd4247c4,17772,一室两厅,59,钱桂兰,15781999870,2022-09-09,2023-04-04,207,1452,2904,现金,完成
b5930f0e-6c3b-4888-9651-db119fd3dca4,19841,三室两厅,122,陈健,15873124518,2022-08-09,2023-03-17,220,3375,6750,微信,取消
6e2d7f1b-2c93-49ef-b0b7-67610ea697a2,11181,三室两厅,111,李秀云,13265202698,2023-02-23,2023-03-08,13,3459,6918,微信,取消
8111e726-62c3-4f75-a397-e5a2ea41761e,13906,两室两厅,94,陈春梅,13286509922,2022-06-12,2022-12-07,178,2134,4268,现金,完成
1fbf700e-e4d7-4a61-9417-893e49bf7ac7,14801,一室两厅,62,钱淑兰,18246310125,2023-03-01,2023-05-03,63,1354,2708,支付宝,取消
86f8bd4e-902f-4a4b-8fdf-9a668fda1583,16960,两室两厅,90,梁兰英,13222437853,2023-03-06,2023-05-08,63,1304,1304,微信,完成
efb48a23-cb04-4e0b-b1c6-6bbf679ce1c3,13070,三室两厅,114,樊冬梅,13135321602,2022-12-24,2023-02-24,62,3365,3365,微信,完成
60348076-2e6c-4201-a18a-6203a4dd2570,16895,两室一厅,75,常玉华,18111970196,2022-10-13,2022-12-09,57,1010,2020,微信,取消
fcbdf717-a63b-4273-9892-fcf596010fff,15623,两室两厅,93,程秀英,18295041196,2022-09-07,2022-10-03,26,1128,1128,支付宝,取消
e48a4ed8-bbc3-4a9c-a62c-247906145864,13874,三室两厅,126,唐东,15129370072,2023-05-13,2023-05-14,1,3686,3686,支付宝,完成
40ae88b4-83e7-45ee-b4ff-232722103c9f,13794,一室一厅,43,万红霞,15863744114,2022-07-05,2022-10-05,92,1393,2786,支付宝,取消
72544c1f-d50c-4024-bc30-651d7ca669ed,19459,两室一厅,109,梁旭,18177575902,2023-01-07,2023-04-20,103,1793,1793,微信,完成
e315542d-4dbe-4c63-adcf-e7a8d5e7d113,11624,三室两厅,129,沈云,13139765394,2022-12-13,2023-03-15,92,3356,3356,支付宝,取消
d234241b-4cff-42a8-bd6c-7a04508d4e51,13512,一室两厅,54,高磊,15900960577,2023-02-28,2023-05-19,80,1097,1097,微信,完成
0fb94110-4e6d-41c5-8af1-69ffe80d7b13,17895,一室两厅,50,张帆,15510321892,2022-08-29,2023-05-07,251,1746,3492,支付宝,取消
81ca4b42-d660-44b1-94b4-f7ca7b2a8b1f,18184,三室两厅,112,赵洋,18687105140,2022-11-13,2023-05-11,179,3994,3994,微信,完成
7f1af639-3109-4279-8e3e-320b49451efc,19303,一室一厅,48,郭丽娟,13971223971,2022-12-28,2022-12-28,0,1415,1415,支付宝,取消
13fb8895-2017-4729-8c46-cb8515ab563d,13337,一室一厅,48,黎华,13865606303,2023-04-16,2023-05-13,27,941,1882,现金,完成
ecb84574-a666-428a-ab92-5884abc9b395,12159,一室两厅,50,黄秀荣,18023400908,2022-12-11,2023-02-14,65,1232,2464,支付宝,完成
71b02fcf-8b7f-4a18-b506-732206371ec3,14534,四室两厅,132,欧强,14599740120,2023-02-10,2023-04-04,53,4879,4879,现金,完成
31ef8bdc-a46a-4ee9-9b04-8b131c97b029,17871,两室两厅,87,王成,18000176870,2022-10-12,2023-05-12,212,1575,3150,支付宝,取消
dc2c2773-a455-425b-b302-81e6b61523f7,17389,两室两厅,88,姚杨,15624226488,2023-03-13,2023-04-01,19,1799,1799,现金,取消
008201e0-3e92-4aee-a7b9-180cd7f7b0d2,13635,一室两厅,54,梁娜,15166744514,2023-02-13,2023-05-03,79,699,1398,现金,取消
7b75e43b-b34b-453f-8c9d-916f44d5be50,16492,两室一厅,103,韦萍,15923270964,2023-04-27,2023-04-29,2,1074,2148,支付宝,取消
d990f15b-0b42-4b11-a751-792c3b6ab07e,18685,四室两厅,135,林雪,15938100177,2023-03-18,2023-05-18,61,5249,5249,微信,取消
05427330-6022-40d8-af85-5a98a29d7309,15091,一室两厅,54,陈秀英,15572138431,2022-06-08,2022-11-29,174,1428,1428,现金,完成
3ab058b7-2641-41da-93bb-3c26d51a8f2a,14498,三室两厅,115,韩飞,18256081298,2022-10-02,2023-03-29,178,3733,3733,微信,取消
7aa3ee9d-da76-4059-b621-a7b1154c226e,11160,三室两厅,117,白凤英,13381733913,2022-12-21,2023-02-27,68,3776,3776,支付宝,完成
324fc43e-0eb0-4b92-945f-ebac2a885b8d,11244,三室两厅,116,严丹,15207065175,2023-01-15,2023-02-17,33,4463,4463,支付宝,取消
ae57f563-d4f9-408a-9a20-3b758a4a3053,13178,两室一厅,85,许玉珍,13328045259,2023-02-19,2023-03-26,35,1470,2940,现金,取消
352318e7-95f3-40a7-864b-019ebd3a8076,14244,两室两厅,74,罗东,13716891538,2022-06-12,2023-05-06,328,1565,3130,现金,完成
8a641c05-580e-498b-93fa-8cd6a5a1a112,13453,两室两厅,93,苗强,13297459567,2022-05-23,2022-08-28,97,1937,1937,现金,完成
ba12c5f6-9291-441b-9ae1-542a140e2b27,10053,三室两厅,121,侯兵,18060025869,2022-09-19,2022-10-12,23,3926,7852,微信,完成
1af4a977-7964-4978-83df-c7d7bc46666d,17811,两室两厅,109,王秀荣,13326680632,2022-07-16,2022-12-11,148,1771,3542,支付宝,取消
4e9676f2-c6f3-4325-8863-b872979b5e86,19978,四室两厅,159,刘秀云,15555977858,2023-01-08,2023-05-12,124,6960,6960,现金,取消
55263ba0-5d1f-4c5c-94a8-b70507609440,16965,两室一厅,79,蔡帆,18552967893,2023-01-19,2023-04-01,72,1240,1240,微信,取消
67141155-5aec-4339-b793-f5d3d9eed651,14491,三室两厅,118,黄婷,15807339820,2023-04-13,2023-04-26,13,3423,6846,支付宝,取消
5bd9af9a-9e47-4983-9446-dcd1e2447556,10986,三室两厅,116,朱艳,13981457526,2022-08-21,2022-11-17,88,3238,3238,支付宝,取消
d3ebbbea-edda-4f03-9ef6-462a3931a9eb,12129,两室两厅,108,蒋兵,15166695231,2022-09-09,2022-11-29,81,1943,1943,支付宝,取消
ba889f67-38ed-4a38-9624-44dcaf5b5ae1,19659,四室两厅,140,戴博,13553524666,2022-10-29,2023-01-14,77,6575,13150,支付宝,取消
21e98ed3-598b-439e-a0ae-f5d151bfe877,16621,一室一厅,48,居帅,15147318633,2023-05-16,2023-05-18,2,1130,1130,微信,完成
54cca66e-71b2-4392-a078-1f676ae90022,17342,一室两厅,56,林晨,18579102838,2023-01-13,2023-04-28,105,599,1198,现金,完成
9bdeb945-4d83-4253-97c7-99f2d0684133,15344,一室一厅,42,萧博,15327452592,2023-01-09,2023-04-19,100,952,1904,现金,完成
6d2ef8cf-9cc4-44f3-888e-235ef5c83bb8,12110,一室一厅,40,朱颖,13841861809,2023-03-26,2023-05-06,41,1388,2776,现金,完成
09fab428-4c5c-4e3f-9051-04fcda5189d7,18963,四室两厅,145,杨静,13256747631,2022-12-09,2023-03-08,89,5861,5861,微信,完成
292d53d9-80e0-4bac-bc39-48d566faa310,13182,四室两厅,151,姚璐,13206557323,2022-08-05,2022-11-30,117,6598,6598,支付宝,完成
9ff14284-8eb9-432d-a144-30b0d44be276,11169,一室两厅,63,赖博,18126278783,2022-06-16,2022-07-24,38,1765,1765,支付宝,完成
7156c2cb-c3de-4673-85ec-06bf3bc94f66,12636,一室一厅,45,高桂英,13745952800,2023-04-06,2023-04-14,8,559,1118,支付宝,完成
069cb1de-c8ed-4ab2-b18a-3d1bfca1717d,16667,两室两厅,101,葛桂花,13297196093,2023-04-06,2023-05-07,31,1045,2090,现金,完成
92faff3d-51e9-4a80-ab8e-d7dbee76b7e8,12046,两室一厅,88,陈辉,15763922883,2022-09-02,2023-04-26,236,2185,2185,微信,取消
152dedaa-bd67-4695-b53a-d3b643b327a5,12168,一室一厅,50,强亮,18608969396,2022-09-18,2023-02-23,158,578,578,现金,完成
3db73155-eb7a-4af7-92be-1feaca476f75,12740,两室一厅,105,王志强,18248143277,2022-10-16,2023-01-12,88,1505,1505,现金,完成
f0972572-9466-409c-856c-5b6750e8043f,14641,两室一厅,98,施刚,13312635294,2023-01-10,2023-02-17,38,1453,1453,现金,完成
f6b550ae-39ee-4566-a257-f787db059321,19463,两室一厅,100,葛红霞,15725992345,2022-06-30,2022-07-17,17,1556,3112,现金,取消
994e5d0b-3c25-41e3-acf4-2bbd747366d4,16507,四室两厅,149,张凤英,13949500566,2023-01-18,2023-04-29,101,5378,10756,微信,完成
fe9b1c4f-cd44-42fe-b7da-d5d6ab4af0ee,10564,一室两厅,50,张华,15017098646,2022-07-24,2022-09-30,68,1147,1147,现金,取消
d0685563-74e8-41ac-90f7-5bcd7a4fb4a6,10351,四室两厅,154,萧俊,14564978170,2023-03-04,2023-03-05,1,6080,6080,微信,完成
7f4f55c4-afce-4f00-964c-f4aaa1b25dfa,10118,三室两厅,111,刘桂荣,15962257124,2022-06-11,2023-03-02,264,3547,7094,支付宝,取消
2245c148-b14b-4f06-8350-91dd8a49a20d,16364,四室两厅,156,萧淑兰,15590867701,2022-12-10,2023-01-09,30,6121,12242,微信,取消
91fa5456-73b1-4d64-88bd-d0aced148acf,11171,一室两厅,67,邵凤兰,15827215434,2022-06-22,2022-09-04,74,561,1122,现金,完成
1cf9194a-20b2-440b-908e-d9038f5f3b50,17829,两室一厅,108,倪荣,18161285418,2022-12-14,2023-02-17,65,2159,4318,支付宝,完成
32cede65-f8f8-43c6-84ad-60288ed2a5ad,11339,四室两厅,143,程琴,13267045271,2022-09-25,2022-10-17,22,6096,6096,微信,完成
bd5fd42f-06e0-4bea-97f1-4ee1179e8954,14820,三室两厅,118,汤岩,13338774766,2022-10-12,2023-03-03,142,3108,6216,支付宝,完成
b1d7adb2-991c-4558-847d-6e29b6be6eaf,11533,一室一厅,48,蒋斌,18769309970,2022-10-10,2023-03-03,144,688,688,支付宝,完成
049ce54a-997b-4d7f-9bb4-c3753fdbd334,16005,一室一厅,41,叶龙,18564925462,2022-07-09,2022-10-08,91,523,523,微信,完成
45875b65-125d-4b04-9e88-9f6c2ab293fb,15866,四室两厅,160,周淑英,14556805630,2022-08-13,2022-12-31,140,6085,12170,现金,取消
425c86cf-47f1-47f4-9902-a86945aa5a82,17638,一室两厅,64,陈柳,13458999090,2022-07-16,2022-11-23,130,953,953,现金,取消
95241c2a-86be-4cb8-bede-07813b339098,10924,四室两厅,152,王利,14520867753,2022-09-04,2023-01-01,119,6373,12746,现金,完成
1ec38ad4-baf5-44d7-abb9-5f10e6dd56ef,12583,一室一厅,43,魏春梅,18919855897,2022-12-04,2022-12-11,7,835,835,现金,取消
11b6f812-6ebc-4226-a5fd-5f74708e22b0,10713,三室两厅,123,郭佳,13327371498,2023-03-19,2023-03-31,12,3190,6380,现金,完成
5f0d3f3e-f6fb-4bf5-9270-4139d3c37dc5,13628,一室一厅,42,沈健,15389790188,2022-10-19,2023-04-23,186,1419,1419,支付宝,完成
962b2eb6-f65b-40e6-96f4-e421943a9a9f,18442,四室两厅,157,陈雪,18876004273,2022-07-15,2022-11-07,115,6080,12160,微信,取消
d16ad844-f8f9-4671-b5b6-99f439a2ce80,16290,一室一厅,47,曾东,13751274014,2022-06-13,2022-11-12,152,957,957,支付宝,完成
ad637cd2-2311-4754-ac8c-1e12adda5711,16789,一室一厅,47,周岩,13369880910,2022-10-30,2023-04-16,168,1068,1068,支付宝,取消
0a8f1b2a-8883-4fde-9448-55b3077be428,13053,两室两厅,95,周建国,13897448609,2023-03-30,2023-04-26,27,1753,3506,现金,取消
3b0ae444-aff6-410e-bb92-c0543e33b8c8,19237,两室一厅,84,屠刚,18573523015,2023-02-09,2023-04-13,63,1922,1922,支付宝,取消
3b9da0cd-b2f7-4c7d-9be3-5b1f553778b9,19008,一室两厅,56,史慧,15703833636,2023-05-07,2023-05-18,11,1772,3544,支付宝,完成
b2632cf3-21b3-4e60-84b7-5cc629395b00,10707,一室两厅,60,傅鑫,18111277129,2023-03-19,2023-04-17,29,998,998,支付宝,取消
9365cd96-6ea6-457d-9547-79343150dd8c,18889,两室一厅,83,杨春梅,13733923613,2022-10-21,2022-10-23,2,1878,3756,现金,取消
345ac11d-c190-4dd9-81bb-1e6bf03b6f6a,19783,三室两厅,110,邱超,13132585245,2022-05-20,2022-10-10,143,3631,7262,现金,完成
8442e2cf-a890-4746-8de4-330e1d67eb23,14006,两室一厅,76,高峰,18200162435,2023-02-15,2023-04-06,50,1478,1478,微信,完成
a16922cd-7381-491d-a14d-724c01d01676,13443,四室两厅,147,刘莉,15572744688,2022-06-01,2023-02-21,265,5251,10502,微信,取消
4d9dae11-6dc5-451e-b5f1-5b66ba3f1c9e,12340,一室一厅,45,荣欣,18999963268,2022-10-03,2022-10-15,12,1333,1333,微信,取消
c59cd146-ffe6-4d49-aeec-487225437e43,15420,两室一厅,94,黄欢,14529490771,2023-05-08,2023-05-19,11,1434,2868,现金,完成
a2959d4f-a3e6-4fd9-b1ed-dbf82d247eef,16228,一室一厅,43,逯文,14518779916,2022-10-10,2023-01-02,84,786,786,微信,完成
c41dc73e-77d7-426f-9214-a61094ad9dc0,17403,一室两厅,56,杨丹,13326681682,2023-01-21,2023-03-12,50,534,534,支付宝,完成
0e732006-23bd-4858-8042-7072c90a43e1,11140,四室两厅,142,李鹏,15865802544,2022-06-07,2022-11-27,173,4953,4953,微信,完成
8e9b714e-247d-48aa-b832-12f418bd04db,12568,四室两厅,151,李柳,18710335891,2022-06-02,2022-06-08,6,6283,12566,现金,取消
e22efbc9-920b-4334-9be5-7a386767f58c,13115,一室两厅,66,梁秀云,15914017576,2022-09-16,2023-03-11,176,1265,2530,现金,完成
6dd49a66-4ee2-4e30-97f1-c6abea1ea996,15766,一室两厅,58,王秀梅,14744741821,2022-09-09,2022-09-27,18,515,515,现金,完成
d6be9834-d3f7-4d63-abe1-4c75961c4aa1,14476,一室一厅,44,刘欣,13365293686,2023-02-16,2023-05-02,75,828,828,微信,取消
239f57f6-f763-48db-9aa6-d5e1e9f80867,16195,三室两厅,120,方玉梅,14512296725,2022-06-29,2023-02-09,225,3812,7624,微信,取消
727e1454-f2d4-4bdb-b283-fd45cf8d13a3,11815,一室两厅,61,侯佳,15185738135,2022-12-16,2023-05-15,150,902,1804,支付宝,完成
f240abee-c617-4013-8f05-f938fcfd276e,15132,两室两厅,106,刘静,18095823319,2022-10-04,2022-10-25,21,1945,1945,微信,完成
ea0d7964-b37f-40fa-99e6-1d5d1df1643e,14944,一室两厅,61,李伟,14711484878,2022-08-04,2022-09-02,29,1065,1065,支付宝,完成
d7724137-80aa-483c-a9c3-af7e8035dda4,18058,两室两厅,78,谭佳,18190077684,2022-09-01,2022-10-10,39,1677,1677,微信,完成
c4069f5d-7360-4f62-895b-4800b3da91b0,19094,三室两厅,125,张桂香,18154563493,2022-07-09,2022-09-04,57,3736,3736,微信,取消
36841354-60c2-434f-9546-2b3fbe049c4e,17954,一室一厅,44,罗桂兰,18161447114,2022-08-07,2023-01-25,171,1386,2772,支付宝,取消
b952909b-7196-4add-a428-9e024f28cf86,11766,一室一厅,46,张燕,14792813255,2023-04-30,2023-05-13,13,1030,1030,微信,完成
afede685-dc2f-4104-9047-7db5865925b7,12624,两室两厅,90,夏帅,13803130811,2022-06-05,2022-07-26,51,1182,2364,微信,完成
74f5c942-904b-4576-83a2-06090322d513,10021,一室一厅,42,陈峰,18863495313,2022-09-17,2023-04-10,205,1285,1285,支付宝,完成
4b5ae334-14e5-4fec-840a-138261dca671,18388,一室两厅,66,袁淑珍,18756849734,2023-04-18,2023-04-20,2,910,1820,支付宝,完成
1e944793-cfc4-48c6-9bb8-9a1c753f993d,17588,一室两厅,68,陈成,13154970558,2023-03-19,2023-04-02,14,1135,1135,支付宝,取消
c15c860a-de04-4ce4-8982-b0c444c43365,14975,一室一厅,50,吴健,13161443772,2022-12-29,2023-03-16,77,814,1628,支付宝,完成
8aa10b1f-134b-4941-93e3-bd04b63861d5,18878,一室两厅,58,秦玉英,15896294618,2023-03-23,2023-04-14,22,1275,1275,现金,完成
